,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year
1,1,27,21704.77,11.69907956,12,0,1,1.156680997,242.632554,800.9827661
2,4,50,9609.57,10.75280028,9,0,1,15.75414408,159.947583,2054.706961
3,1,48,18925.23,14.91353964,15,2,0,17.08722662,119.95684,2164.579412
4,0,83,40074.19,8.147416533,16,2,1,1.670971726,149.948316,271.4934362
5,3,83,22660.2,8.420992898,15,3,1,7.000993555,185.007692,1039.357983
6,0,79,11467.5,11.18272453,10,0,1,13.23677381,200.118516,1907.242972
7,2,30,26759.64,7.791632265,16,0,0,4.26425515,114.950905,979.6127078
9,1,86,50231.4,8.707823904,18,1,0,3.422086139,162.482694,508.7637913
12,0,83,83671.08,8.273875452,9,0,0,13.01149229,137.439154,1196.388018
13,5,29,115114.57,5.880565591,14,1,0,16.87922024,184.971516,1948.694497
14,1,30,64256.81,11.79073041,10,3,0,10.06019902,159.965581,1582.295235
15,3,39,89061.45,10.79846973,13,1,0,13.87001293,177.65076,1840.014467
16,0,63,31659.3,13.52284721,13,1,0,15.78214958,194.966286,2070.376729
17,2,60,44142.81,9.831166695,16,3,0,2.303331273,202.682861,882.0985933
18,3,61,39262.14,9.57470568,11,1,0,17.10995632,152.490739,1833.0967
19,3,23,19494.75,10.92246098,10,1,0,12.80615845,149.944668,1954.080809
21,3,30,45714.47,6.984819996,18,1,0,2.415991977,127.495766,594.1054279
22,3,52,27442.03,9.372975594,16,1,1,6.652298992,124.964303,713.0633088
23,2,68,79699.62,7.109002592,9,0,0,8.543717478,149.948316,945.3802928
24,3,75,28520.32,13.74777955,15,1,0,5.770390256,162.511928,870.76398
25,1,77,12558.83,9.767668044,12,1,0,4.157658837,92.455141,774.2937069
26,1,47,8762.23,15.8626095,15,0,1,10.40566091,222.649979,1506.446527
27,0,70,43882.72,14.73616645,12,0,0,1.392421597,139.981577,419.0508708
28,3,20,10482.52,13.43558029,13,2,0,1.430386349,200.132293,1259.415493
29,4,69,33442.79,10.61771118,18,1,0,5.425864884,257.651257,1745.125956
31,0,40,21793.88,4.450171647,13,2,0,3.586184954,147.489301,492.4771472
32,6,82,51960.51,8.774646693,9,0,0,4.727388465,230.105118,1013.993166
33,5,74,25942.1,11.13156721,8,1,1,20.89923386,174.958118,2680.762173
34,4,69,11211.59,5.540788887,15,1,0,3.471329958,267.664655,1081.814362
35,1,52,8283.29,13.80362698,11,0,1,5.478588204,162.483267,1209.961168
36,2,26,10114.81,16.31017089,16,1,1,3.312991809,229.993134,897.5919144
37,1,25,36229.21,9.447065309,9,2,0,7.161561527,140.00128,1340.930156
38,1,66,25397.44,16.84100845,12,1,0,9.847563364,184.964681,1113.993679
39,1,72,50336.5,7.972937227,10,1,1,16.04202196,147.473844,1530.10769
40,3,21,38211.37,11.42906608,12,1,0,9.179779682,172.457857,1310.137419
41,3,55,52887.26,8.06137096,16,2,0,3.002844144,107.481989,892.8964931
42,4,41,12003.33,12.54780492,11,1,2,3.924254455,255.141716,1125.581944
43,4,32,24090.62,8.255565152,13,0,0,18.55959629,192.456745,2016.710031
44,0,22,15137.93,13.156514,6,0,0,8.798394712,242.632554,1412.736809
45,2,44,54458.38,10.58349704,5,1,0,10.377366,245.174977,1710.689671
47,3,43,37358.13,9.750038902,11,1,0,9.427146079,195.006206,1213.940165
48,1,86,26534.16,7.868660851,11,2,2,7.760290062,104.962874,740.010722
49,2,84,76430.83,12.43563329,14,0,1,11.56938439,92.488023,897.9716153
50,2,62,4662.37,8.957166926,13,3,0,3.343811019,184.979684,1026.387172
51,5,68,43820.85,8.015021713,12,1,0,7.338869531,187.656013,1234.244324
52,1,59,38391.55,4.210347704,8,0,0,5.486534225,149.962093,727.3731845
53,0,31,44137.6,11.13960534,6,0,0,1.55278221,169.944668,452.8721504
54,0,51,14364.65,9.03738856,11,2,0,12.07970325,160.00128,1296.674543
55,1,58,62359.91,10.91594785,11,1,1,13.98666226,129.962093,1840.628269
56,1,73,82634.86,8.387624096,11,0,1,9.563362997,114.950905,1324.330108
58,1,58,14568.7,10.22013704,15,2,0,15.72071086,220.14775,1868.864027
59,0,49,29207.46,8.425458142,9,1,0,7.233605493,124.97808,676.712908
60,1,26,55319.23,8.386280619,12,1,0,2.871017037,164.964681,1086.990308
61,1,25,81831.49,9.565924291,10,3,0,2.344875382,194.976769,704.7540406
62,0,42,100076.65,10.79349982,14,3,0,7.960490246,152.455519,1416.444695
63,1,81,69965.65,6.081975067,15,0,0,12.25062113,92.5018,1095.950634
64,1,43,34883.69,13.55065547,13,0,0,9.634946079,127.488728,1083.610268
65,2,63,45634.2,9.470419821,14,1,0,7.916533093,184.963371,1570.641337
66,3,70,10964.73,6.194985909,11,0,1,4.471254161,265.146969,1007.425553
68,0,48,52636.6,7.903964267,17,0,1,12.24190682,152.462354,1808.730555
69,1,63,19048.13,11.27443693,18,2,1,2.203859443,200.132293,1120.241472
71,0,87,77996.88,7.969277912,17,0,0,3.7311787,255.119794,1268.086909
72,3,54,47507.3,4.368120492,9,0,0,7.980015371,134.950905,822.6771666
73,3,35,7724.73,6.258356398,9,0,1,9.190009376,255.137219,1577.915603
74,1,70,1509.52,12.92303286,16,0,0,2.378630018,214.966286,648.7471776
75,2,67,81124.71,12.43301273,13,0,0,5.43464555,270.160419,1648.102673
76,4,46,11795.57,7.607663559,11,0,0,1.092361222,200.165175,768.0874545
77,1,50,74794.84,7.442789019,10,2,1,20.13981517,149.937833,2426.030626
78,1,24,19038.78,13.04429298,18,1,0,24.64873861,240.114868,2660.503932
79,0,20,79167.77,14.89762162,17,0,0,9.677739656,127.495766,1129.549713
80,1,29,37428.26,13.79387475,13,2,1,9.82814183,187.609354,1771.286466
81,0,31,45148.38,15.66367593,6,1,0,7.832238337,169.992756,943.3391244
82,5,72,74855.47,8.513410306,13,3,0,19.45250317,192.456745,1907.226083
83,4,71,45323.86,8.265002035,10,1,0,14.34766616,120.004928,1885.939118
84,2,32,71596.14,8.6026551,11,0,0,2.257358355,195.006206,631.7435653
85,0,33,10389.95,6.03993035,15,1,0,2.358129018,139.95684,562.6095219
86,3,67,19657.14,14.6040829,12,3,0,4.650578623,114.983787,593.8572264
