,0
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,0
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,0
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,0
504,0
505,1
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,1
532,0
533,0
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,0
561,0
562,1
563,1
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,0
578,0
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,0
596,1
597,1
598,0
599,1
600,1
601,0
602,1
603,0
604,0
605,1
606,1
607,1
608,1
609,1
610,0
611,1
612,0
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,1
625,1
626,0
627,1
628,1
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,1
647,0
648,1
649,1
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,1
688,1
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,0
729,1
730,1
731,1
732,0
733,1
734,0
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,0
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,0
770,1
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,0
781,1
782,0
783,1
784,0
785,0
786,1
787,1
788,0
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,0
797,0
798,0
799,1
800,0
801,1
802,1
803,0
804,0
805,1
806,0
807,1
808,1
809,0
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,1
843,1
844,1
845,0
846,1
847,1
848,0
849,1
850,1
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,1
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,0
869,1
870,1
871,0
872,0
873,0
874,1
875,1
876,0
877,0
878,1
879,1
880,1
881,0
882,1
883,1
884,1
885,0
886,1
887,1
888,0
889,0
890,1
891,0
892,1
893,1
894,1
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,0
912,1
913,1
914,1
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,1
928,1
929,1
930,1
931,0
932,0
933,1
934,0
935,1
936,1
937,0
938,0
939,0
940,1
941,1
942,0
943,1
944,0
945,0
946,1
947,1
948,1
949,0
950,1
951,0
952,0
953,0
954,1
955,1
956,1
957,0
958,1
959,1
960,0
961,1
962,1
963,1
964,0
965,0
966,0
967,0
968,1
969,1
970,1
971,1
972,1
973,0
974,0
975,1
976,1
977,0
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,0
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,0
994,1
995,1
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,1
1012,0
1013,1
1014,0
1015,0
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,0
1041,1
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
